1 1.5
2 3.5
3 4.5
4 0.0
5 -0.5
6 1.5
7 0.5
8 1.0
9 0.5
10 0.0
11 1.5
12 1.5
13 0.5
14 0.5
15 2.5
16 4.5
17 5.5
18 6.5
19 7.0
20 11.0
21 10.5
22 10.5
23 13.5
24 14.5
25 15.5
26 15.5
27 14.5
28 12.0
29 11.5
30 8.5
31 8.0
32 7.5
33 3.5
34 2.5
35 3.5
36 5.5
37 6.5
38 6.5
39 8.0
40 8.5
41 10.0
42 10.0
43 12.5
44 13.5
45 11.5
46 12.0
47 14.5
48 13.0
49 11.0
50 14.5
51 16.5
52 16.0
53 17.5
54 18.0
55 20.0
56 20.0
57 17.5
58 18.0
59 16.0
60 15.5
61 15.0
62 14.0
63 14.0
64 14.0
65 15.0
66 14.5
67 14.5
68 16.5
69 18.5
70 16.5
71 16.5
72 17.5
73 16.0
74 15.0
75 17.5
76 14.0
77 15.0
78 15.0
79 13.5
80 11.0
81 11.5
82 11.5
83 11.5
84 13.0
85 15.5
86 17.0
87 16.5
88 17.5
89 16.0
90 13.5
91 12.5
92 14.0
93 16.0
94 17.0
95 16.0
96 13.5
97 11.0
98 14.0
99 15.0
