ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5534.0359       365.9180         0.0000         0.0000       901.5373          -4266.5807       286.4105     -5168.1179     -4265.4459       297.0633           -433.8668      -397.5170     22579.9056      -163.7159      -163.7131
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5637.4552       430.0473         0.0000         0.0000       919.4120          -4287.9959       292.0891     -5207.4078     -4286.3489       300.7451            370.6570       384.0977     22523.5631      -199.4138      -199.5263
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5564.3674       383.8785         0.0000         0.0000       932.1324          -4248.3565       296.1303     -5180.4889     -4246.2217       300.5891           -351.2346      -337.7525     22889.2451      -235.3610      -235.3467
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5615.6842       375.8120         0.0000         0.0000       922.5072          -4317.3650       293.0724     -5239.8722     -4315.0711       298.5421           -438.7270      -409.3333     22639.0818      -174.1073      -173.9045
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5470.2955       324.4410         0.0000         0.0000       935.4719          -4210.3826       297.1912     -5145.8545     -4208.6940       299.9781          -1175.2485     -1155.4138     22869.8862      -188.9328      -188.9925
ENERGY:  265000         0.0000         0.0000         0.0000         0.0000          -5617.9536       443.1539         0.0000         0.0000       922.3783          -4252.4214       293.0315     -5174.7997     -4250.7109       300.7815            330.2735       341.6061     22873.0156      -232.1208      -232.1546
ENERGY:  270000         0.0000         0.0000         0.0000         0.0000          -5588.4330       357.5610         0.0000         0.0000       985.4472          -4245.4249       313.0679     -5230.8721     -4242.5017       300.3480           -638.2548      -612.1817     22553.7118      -191.1568      -190.9625
ENERGY:  275000         0.0000         0.0000         0.0000         0.0000          -5663.3940       438.1002         0.0000         0.0000       924.5050          -4300.7889       293.7071     -5225.2939     -4297.2786       298.8907            266.8591       279.5662     22812.0243      -212.6137      -212.6325
ENERGY:  280000         0.0000         0.0000         0.0000         0.0000          -5745.1742       435.6270         0.0000         0.0000       950.0683          -4359.4788       301.8284     -5309.5472     -4358.0384       296.5671            -13.9690        21.8269     22517.0671      -212.7547      -212.8479
ENERGY:  285000         0.0000         0.0000         0.0000         0.0000          -5623.6269       381.4770         0.0000         0.0000       890.2517          -4351.8981       282.8252     -5242.1498     -4350.4799       294.0655           -564.0139      -538.6263     22539.4470      -286.5412      -286.5510
