# time(ps) Nwater Force (pN) Pressure Dif (atm) 
10 166 5767.919 12428.374747764068
20 166 5767.919 12428.374747764068
30 169 5872.1585 12652.983929952574
40 162 5628.933 12128.895838179393
50 170 5906.905 12727.853657348745
60 172 5976.397999999999 12877.593112141081
70 167 5802.665499999999 12503.244475160236
80 170 5906.905 12727.853657348745
90 175 6080.6375 13102.20229432959
100 168 5837.411999999999 12578.114202556406
110 164 5698.4259999999995 12278.63529297173
120 170 5906.905 12727.853657348745
130 175 6080.6375 13102.20229432959
140 168 5837.411999999999 12578.114202556406
150 172 5976.397999999999 12877.593112141081
160 167 5802.665499999999 12503.244475160236
170 172 5976.397999999999 12877.593112141081
180 168 5837.411999999999 12578.114202556406
190 172 5976.397999999999 12877.593112141081
200 171 5941.6515 12802.723384744913
210 168 5837.411999999999 12578.114202556406
220 172 5976.397999999999 12877.593112141081
230 171 5941.6515 12802.723384744913
240 173 6011.144499999999 12952.462839537251
250 170 5906.905 12727.853657348745
260 168 5837.411999999999 12578.114202556406
270 168 5837.411999999999 12578.114202556406
280 167 5802.665499999999 12503.244475160236
290 177 6150.130499999999 13251.941749121926
300 167 5802.665499999999 12503.244475160236
310 171 5941.6515 12802.723384744913
320 165 5733.1725 12353.505020367898
330 164 5698.4259999999995 12278.63529297173
340 168 5837.411999999999 12578.114202556406
350 172 5976.397999999999 12877.593112141081
360 164 5698.4259999999995 12278.63529297173
370 172 5976.397999999999 12877.593112141081
380 173 6011.144499999999 12952.462839537251
390 165 5733.1725 12353.505020367898
400 169 5872.1585 12652.983929952574
410 168 5837.411999999999 12578.114202556406
420 168 5837.411999999999 12578.114202556406
430 174 6045.891 13027.33256693342
440 172 5976.397999999999 12877.593112141081
450 169 5872.1585 12652.983929952574
460 172 5976.397999999999 12877.593112141081
470 167 5802.665499999999 12503.244475160236
480 167 5802.665499999999 12503.244475160236
490 168 5837.411999999999 12578.114202556406
500 165 5733.1725 12353.505020367898
510 169 5872.1585 12652.983929952574
520 182 6323.862999999999 13626.290386102773
530 161 5594.1865 12054.026110783223
540 178 6184.8769999999995 13326.811476518098
550 168 5837.411999999999 12578.114202556406
560 173 6011.144499999999 12952.462839537251
570 172 5976.397999999999 12877.593112141081
580 175 6080.6375 13102.20229432959
590 169 5872.1585 12652.983929952574
600 170 5906.905 12727.853657348745
